"CBQ675.Code.or.Value","CBQ675.Value.Description","CBQ675.Count","CBQ675.Cumulative","CBQ675.Skip.to.Item"
"1","Very important",964,964,NA
"2","Somewhat important",892,1856,NA
"3","Not too important",493,2349,NA
"4","Not at all important",91,2440,NA
"7","Refused",0,2440,NA
"9","Don't know",2,2442,NA
".","Missing",503,2945,NA
