"LBXSCR.Code.or.Value","LBXSCR.Value.Description","LBXSCR.Count","LBXSCR.Cumulative","LBXSCR.Skip.to.Item"
"0.29 to 17.41","Range of Values",6553,6553,NA
".","Missing",426,6979,NA
