"DR1IS160.Code.or.Value","DR1IS160.Value.Description","DR1IS160.Count","DR1IS160.Cumulative","DR1IS160.Skip.to.Item"
"0 to 54.821","Range of Values",130698,130698,NA
".","Missing",696,131394,NA
