"BPQ060.Code.or.Value","BPQ060.Value.Description","BPQ060.Count","BPQ060.Cumulative","BPQ060.Skip.to.Item"
"1","Yes",4358,4358,""
"2","No",1705,6063,"End of Section"
"7","Refused",1,6064,"End of Section"
"9","Don't know",154,6218,"End of Section"
".","Missing",671,6889,""
