"DIQ070.Code.or.Value","DIQ070.Value.Description","DIQ070.Count","DIQ070.Cumulative","DIQ070.Skip.to.Item"
"1","Yes",546,546,NA
"2","No",529,1075,NA
"7","Refused",0,1075,NA
"9","Don't know",3,1078,NA
".","Missing",8286,9364,NA
