"CSQ090D.Code.or.Value","CSQ090D.Value.Description","CSQ090D.Count","CSQ090D.Cumulative","CSQ090D.Skip.to.Item"
"1","Better",171,171,NA
"2","Worse",161,332,NA
"3","No Change",3246,3578,NA
"7","Refused",2,3580,NA
"9","Don't know",23,3603,NA
".","Missing",0,3603,NA
