"OSD030cb.Code.or.Value","OSD030cb.Value.Description","OSD030cb.Count","OSD030cb.Cumulative","OSD030cb.Skip.to.Item"
"22 to 52","Range of Values",7,7,NA
"80","80 or older",0,7,NA
"77777","Refused",0,7,NA
"99999","Don't know",2,9,NA
".","Missing",3806,3815,NA
