"URDMX2LC.Code.or.Value","URDMX2LC.Value.Description","URDMX2LC.Count","URDMX2LC.Cumulative","URDMX2LC.Skip.to.Item"
"0","At or above detection limit",2375,2375,NA
"1","Below lower detection limit",23,2398,NA
".","Missing",107,2505,NA
