"LBDVDBLC.Code.or.Value","LBDVDBLC.Value.Description","LBDVDBLC.Count","LBDVDBLC.Cumulative","LBDVDBLC.Skip.to.Item"
"0","At or above detection limit",1595,1595,NA
"1","Below lower detection limit",1400,2995,NA
"2","Detectable result and exceeds the calibrated range of 
      assay",0,2995,NA
".","Missing",271,3266,NA
