"BIXS007K.Code.or.Value","BIXS007K.Value.Description","BIXS007K.Count","BIXS007K.Cumulative","BIXS007K.Skip.to.Item"
"376.69 to 986.12","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
