"DSQTPROT.Code.or.Value","DSQTPROT.Value.Description","DSQTPROT.Count","DSQTPROT.Cumulative","DSQTPROT.Skip.to.Item"
"0 to 168","Range of Values",224,224,NA
".","Missing",9925,10149,NA
