"GTDBL2MN.Code.or.Value","GTDBL2MN.Value.Description","GTDBL2MN.Count","GTDBL2MN.Cumulative","GTDBL2MN.Skip.to.Item"
"75 to 206","Range of Values",2581,2581,NA
".","Missing",582,3163,NA
