"DBQ370.Code.or.Value","DBQ370.Value.Description","DBQ370.Count","DBQ370.Cumulative","DBQ370.Skip.to.Item"
"1","Yes",2507,2507,""
"2","No",102,2609,"DBQ400"
"7","Refused",0,2609,"DBQ400"
"9","Don't know",2,2611,"DBQ400"
".","Missing",7360,9971,""
