"MPQ120e.Code.or.Value","MPQ120e.Value.Description","MPQ120e.Count","MPQ120e.Cumulative","MPQ120e.Skip.to.Item"
"14","Upper arm - right",53,53,NA
".","Missing",4827,4880,NA
