"VTD251B.Code.or.Value","VTD251B.Value.Description","VTD251B.Count","VTD251B.Cumulative","VTD251B.Skip.to.Item"
"4 to 48","Range of Values",57,57,NA
"77","Refused",0,57,NA
"99","Don't know",0,57,NA
".","Missing",3337,3394,NA
