"LBCF08LA.Code.or.Value","LBCF08LA.Value.Description","LBCF08LA.Count","LBCF08LA.Cumulative","LBCF08LA.Skip.to.Item"
"3.32 to 24.4","Range of Values",246,246,NA
".","Missing",18,264,NA
