"BMXSAD2.Code.or.Value","BMXSAD2.Value.Description","BMXSAD2.Count","BMXSAD2.Cumulative","BMXSAD2.Skip.to.Item"
"10.2 to 40.2","Range of Values",7218,7218,NA
".","Missing",2595,9813,NA
