"DRDINT.Code.or.Value","DRDINT.Value.Description","DRDINT.Count","DRDINT.Cumulative","DRDINT.Skip.to.Item"
"1","Day 1 only",9486,9486,NA
"2","Day 1 and day 2",121678,131164,NA
".","Missing",0,131164,NA
