"HUQ084.Code.or.Value","HUQ084.Value.Description","HUQ084.Count","HUQ084.Cumulative","HUQ084.Skip.to.Item"
"0 to 180","Range of Values",82,82,NA
"777","Refused",0,82,NA
"999","Don't know",0,82,NA
".","Missing",10040,10122,NA
