"AUDTYR61.Code.or.Value","AUDTYR61.Value.Description","AUDTYR61.Count","AUDTYR61.Cumulative","AUDTYR61.Skip.to.Item"
"0 to 1.97","Range of Values",2160,2160,NA
".","Missing",208,2368,NA
