"DS2ISELE.Code.or.Value","DS2ISELE.Value.Description","DS2ISELE.Count","DS2ISELE.Cumulative","DS2ISELE.Skip.to.Item"
"0.2 to 100000","Range of Values",977,977,NA
".","Missing",4549,5526,NA
