"AUXU8KL.Code.or.Value","AUXU8KL.Value.Description","AUXU8KL.Count","AUXU8KL.Cumulative","AUXU8KL.Skip.to.Item"
"-10 to 110","Range of Values",3838,3838,NA
"666","No response",8,3846,NA
"888","Could not obtain",16,3862,NA
".","Missing",638,4500,NA
