"MPQ120e.Code.or.Value","MPQ120e.Value.Description","MPQ120e.Count","MPQ120e.Cumulative","MPQ120e.Skip.to.Item"
"14","Upper arm - right",71,71,NA
".","Missing",5340,5411,NA
