"DSD070.Code.or.Value","DSD070.Value.Description","DSD070.Count","DSD070.Cumulative","DSD070.Skip.to.Item"
"1","Yes",8465,8465,NA
"2","No",1433,9898,NA
".","Missing",86,9984,NA
