"DR1TP225.Code.or.Value","DR1TP225.Value.Description","DR1TP225.Count","DR1TP225.Cumulative","DR1TP225.Skip.to.Item"
"0 to 1.221","Range of Values",8327,8327,NA
".","Missing",1217,9544,NA
