"DXDSTPF.Code.or.Value","DXDSTPF.Value.Description","DXDSTPF.Count","DXDSTPF.Cumulative","DXDSTPF.Skip.to.Item"
"10.8 to 55.9","Range of Values",4708,4708,NA
".","Missing",1072,5780,NA
