"HSQ580.Code.or.Value","HSQ580.Value.Description","HSQ580.Count","HSQ580.Cumulative","HSQ580.Skip.to.Item"
"1 to 12","Range of Values",233,233,NA
"77","Refused",0,233,NA
"99","Don't know",3,236,NA
".","Missing",9299,9535,NA
