"LBX180LA.Code.or.Value","LBX180LA.Value.Description","LBX180LA.Count","LBX180LA.Cumulative","LBX180LA.Skip.to.Item"
"4.5 to 397","Range of Values",1924,1924,NA
".","Missing",350,2274,NA
