"BIXC054K.Code.or.Value","BIXC054K.Value.Description","BIXC054K.Count","BIXC054K.Cumulative","BIXC054K.Skip.to.Item"
"32.26 to 179.31","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
