"FFQ0089A.Code.or.Value","FFQ0089A.Value.Description","FFQ0089A.Count","FFQ0089A.Cumulative","FFQ0089A.Skip.to.Item"
1,"Almost never or never",2977,2977,NA
2,"About 1/4 of the time",556,3533,NA
3,"About 1/2 of the time",625,4158,NA
4,"About 3/4 of the time",246,4404,NA
5,"Almost always or always",604,5008,NA
88,"Blank",1004,6012,NA
99,"Error",1,6013,NA
