"FSD760N.Code.or.Value","FSD760N.Value.Description","FSD760N.Count","FSD760N.Cumulative","FSD760N.Skip.to.Item"
"1 to 6","Range of Values",1190,1190,NA
"77","Refused",0,1190,NA
"99","Don't know",0,1190,NA
".","Missing",8064,9254,NA
