"URDPROLC.Code.or.Value","URDPROLC.Value.Description","URDPROLC.Count","URDPROLC.Cumulative","URDPROLC.Skip.to.Item"
"0","At or above the detection limit",1,1,NA
"1","Below lower detection limit",2246,2247,NA
".","Missing",365,2612,NA
