"LB2SAL.Code.or.Value","LB2SAL.Value.Description","LB2SAL.Count","LB2SAL.Cumulative","LB2SAL.Skip.to.Item"
"2.7 to 5.2","Range of Values",544,544,NA
".","Missing",2,546,NA
