"LBXSOSSI.Code.or.Value","LBXSOSSI.Value.Description","LBXSOSSI.Count","LBXSOSSI.Cumulative","LBXSOSSI.Skip.to.Item"
"237 to 323","Range of Values",6553,6553,NA
".","Missing",426,6979,NA
