"SMQ690H.Code.or.Value","SMQ690H.Value.Description","SMQ690H.Count","SMQ690H.Cumulative","SMQ690H.Skip.to.Item"
"8","E-cigarettes",90,90,NA
".","Missing",6654,6744,NA
