"ECD070B.Code.or.Value","ECD070B.Value.Description","ECD070B.Count","ECD070B.Cumulative","ECD070B.Skip.to.Item"
"0 to 15","Range of Values",3526,3526,NA
"7777","Refused",2,3528,NA
"9999","Don't know",116,3644,NA
".","Missing",0,3644,NA
