"WBXA071.Code.or.Value","WBXA071.Value.Description","WBXA071.Count","WBXA071.Cumulative","WBXA071.Skip.to.Item"
"-1.246 to 0.9999","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
