"DS1IFDFE.Code.or.Value","DS1IFDFE.Value.Description","DS1IFDFE.Count","DS1IFDFE.Cumulative","DS1IFDFE.Skip.to.Item"
"3 to 20400","Range of Values",1624,1624,NA
".","Missing",4334,5958,NA
