"LBX101LA.Code.or.Value","LBX101LA.Value.Description","LBX101LA.Count","LBX101LA.Cumulative","LBX101LA.Skip.to.Item"
"0.4 to 32.3","Range of Values",2307,2307,NA
".","Missing",240,2547,NA
