"LBXRPL.Code.or.Value","LBXRPL.Value.Description","LBXRPL.Count","LBXRPL.Cumulative","LBXRPL.Skip.to.Item"
"0.9 to 58.1","Range of Values",6281,6281,NA
".","Missing",1154,7435,NA
