"MCQ240K.Code.or.Value","MCQ240K.Value.Description","MCQ240K.Count","MCQ240K.Cumulative","MCQ240K.Skip.to.Item"
"30 to 54","Range of Values",4,4,NA
"80","80 years or older",0,4,NA
"77777","Refused",0,4,NA
"99999","Don't know",0,4,NA
".","Missing",10105,10109,NA
