"URDHPMLC.Code.or.Value","URDHPMLC.Value.Description","URDHPMLC.Count","URDHPMLC.Cumulative","URDHPMLC.Skip.to.Item"
"0","At or above the detection limit",2645,2645,NA
"1","Below lower detection limit",10,2655,NA
".","Missing",324,2979,NA
