"TYXP238.Code.or.Value","TYXP238.Value.Description","TYXP238.Count","TYXP238.Cumulative","TYXP238.Skip.to.Item"
"-297 to 133","Range of Values",103,103,NA
".","Missing",5482,5585,NA
