"AUXR4KR.Code.or.Value","AUXR4KR.Value.Description","AUXR4KR.Count","AUXR4KR.Cumulative","AUXR4KR.Skip.to.Item"
"40 to 115","Range of Values",8,8,NA
"666","No response",0,8,NA
"888","Could not obtain",0,8,NA
".","Missing",1881,1889,NA
