"VIXOLCM.Code.or.Value","VIXOLCM.Value.Description","VIXOLCM.Count","VIXOLCM.Cumulative","VIXOLCM.Skip.to.Item"
"0 to 8","Range of Values",6306,6306,NA
"88","Could not obtain",218,6524,NA
".","Missing",456,6980,NA
