"DR1IFIBE.Code.or.Value","DR1IFIBE.Value.Description","DR1IFIBE.Count","DR1IFIBE.Cumulative","DR1IFIBE.Skip.to.Item"
"0 to 83.6","Range of Values",145826,145826,NA
".","Missing",1114,146940,NA
