"LBD153LC.Code.or.Value","LBD153LC.Value.Description","LBD153LC.Count","LBD153LC.Cumulative","LBD153LC.Skip.to.Item"
"0","detectable result",779,779,NA
"1","below detectable limit",1147,1926,NA
".","Missing",348,2274,NA
