"LBXVCT.Code.or.Value","LBXVCT.Value.Description","LBXVCT.Count","LBXVCT.Cumulative","LBXVCT.Skip.to.Item"
"0.0035 to 0.008","Range of Values",3185,3185,NA
".","Missing",262,3447,NA
