"AUXU500R.Code.or.Value","AUXU500R.Value.Description","AUXU500R.Count","AUXU500R.Cumulative","AUXU500R.Skip.to.Item"
"-10 to 75","Range of Values",1137,1137,NA
"666","No response",0,1137,NA
"888","Could not obtain",4,1141,NA
".","Missing",69,1210,NA
