"URDUCDLC.Code.or.Value","URDUCDLC.Value.Description","URDUCDLC.Count","URDUCDLC.Cumulative","URDUCDLC.Skip.to.Item"
"0","At or above the detection limit",2316,2316,NA
"1","Below lower detection limit",260,2576,NA
".","Missing",116,2692,NA
