"LBC153LA.Code.or.Value","LBC153LA.Value.Description","LBC153LA.Count","LBC153LA.Cumulative","LBC153LA.Skip.to.Item"
"1.74 to 237","Range of Values",247,247,NA
".","Missing",0,247,NA
