"PFQ061A.Code.or.Value","PFQ061A.Value.Description","PFQ061A.Count","PFQ061A.Cumulative","PFQ061A.Skip.to.Item"
"1","No difficulty",2088,2088,NA
"2","Some difficulty",200,2288,NA
"3","Much difficulty",49,2337,NA
"4","Unable to do",64,2401,NA
"5","Do not do this activity",167,2568,NA
"7","Refused",0,2568,NA
"9","Don't know",0,2568,NA
".","Missing",7077,9645,NA
