"OPXDPHOT.Code.or.Value","OPXDPHOT.Value.Description","OPXDPHOT.Count","OPXDPHOT.Cumulative","OPXDPHOT.Skip.to.Item"
"0","No",2561,2561,NA
"2","Yes",729,3290,NA
"9","No photos of eye",34,3324,NA
".","Missing",539,3863,NA
