"MCQ160E.Code.or.Value","MCQ160E.Value.Description","MCQ160E.Count","MCQ160E.Cumulative","MCQ160E.Skip.to.Item"
"1","Yes",215,215,"MCQ180E"
"2","No",4756,4971,""
"7","Refused",0,4971,""
"9","Don't know",8,4979,""
".","Missing",4843,9822,""
