"WHD050.Code.or.Value","WHD050.Value.Description","WHD050.Count","WHD050.Cumulative","WHD050.Skip.to.Item"
"60 to 600","Range of Values",6185,6185,NA
"7777","Refused",4,6189,NA
"9999","Don't know",138,6327,NA
".","Missing",0,6327,NA
