"LBCBR1LA.Code.or.Value","LBCBR1LA.Value.Description","LBCBR1LA.Count","LBCBR1LA.Cumulative","LBCBR1LA.Skip.to.Item"
"0.09899 to 0.8604","Range of Values",299,299,NA
".","Missing",2,301,NA
