"DRXTFOLA.Code.or.Value","DRXTFOLA.Value.Description","DRXTFOLA.Count","DRXTFOLA.Cumulative","DRXTFOLA.Skip.to.Item"
"0 to 2629.83","Range of Values",8725,8725,NA
".","Missing",557,9282,NA
