"DUQ300.Code.or.Value","DUQ300.Value.Description","DUQ300.Count","DUQ300.Cumulative","DUQ300.Skip.to.Item"
"15 to 48","Range of Values",79,79,NA
"777","Refused",1,80,NA
"999","Don't know",0,80,NA
".","Missing",4977,5057,NA
