"OHQ780H.Code.or.Value","OHQ780H.Value.Description","OHQ780H.Count","OHQ780H.Cumulative","OHQ780H.Skip.to.Item"
"17","Unable to take time off from work",59,59,NA
".","Missing",9305,9364,NA
