"LBDLDL.Code.or.Value","LBDLDL.Value.Description","LBDLDL.Count","LBDLDL.Cumulative","LBDLDL.Skip.to.Item"
"19 to 328","Range of Values",3026,3026,NA
".","Missing",326,3352,NA
