"DS1TSFAT.Code.or.Value","DS1TSFAT.Value.Description","DS1TSFAT.Count","DS1TSFAT.Cumulative","DS1TSFAT.Skip.to.Item"
"0.1 to 3","Range of Values",213,213,NA
".","Missing",10040,10253,NA
