"DID340.Code.or.Value","DID340.Value.Description","DID340.Count","DID340.Cumulative","DID340.Skip.to.Item"
"1 to 104","Range of Values",338,338,NA
"0","None",137,475,NA
"7777","Refused",0,475,NA
"9999","Don't know/not sure",1,476,NA
".","Missing",9346,9822,NA
