"BAQ060G.Code.or.Value","BAQ060G.Value.Description","BAQ060G.Count","BAQ060G.Cumulative","BAQ060G.Skip.to.Item"
"7","Vision or seeing problems",80,80,NA
".","Missing",3406,3486,NA
