"LBXPFDO.Code.or.Value","LBXPFDO.Value.Description","LBXPFDO.Count","LBXPFDO.Cumulative","LBXPFDO.Skip.to.Item"
"0.14 to 2.3","Range of Values",2100,2100,NA
".","Missing",194,2294,NA
